"ipipe","ipipa","ipipc","ipipn","ipipo","bitter","salty","sour","spicey","sweet","filter_.","gender"
3.2,3.9,3.3,2.6,2.9,3.4,4.7,4.2,2.8,5,1,1
3.3,4.9,1.6,4.4,4.3,4.5,4.1,3.5,3.8,5.2,1,1
3.9,4,4.4,2.8,3.6,5.2,4.3,3.7,1.6,5.4,1,1
3.8,4.1,4.1,3.9,2.8,3.3,4.2,3.9,1.9,5,1,1
2.4,4.1,4.7,3.5,2.6,2.6,2.7,2,3.2,3.5,1,1
2.3,4.1,4.2,3.2,3.2,4.2,4.7,3.8,3.4,4.9,1,2
3.6,2.3,2.88888888888889,2.4,4.1,3.9,3.3,3.9,4.5,5.1,1,1
4,3.9,3.2,3.2,3.5,4.66666666666667,4.8,4.5,3.6,5.6,1,1
3.8,3.8,3.5,4.1,3.3,2.5,2.6,2.2,2.1,3.3,1,1
4,3.1,3,3.6,4.1,3.5,3.5,4,3.1,4.1,0,1
4.3,4,4.6,2,2.9,2.6,2.7,1.6,2.1,3.3,1,1
3.4,3.8,3.2,2.5,2.7,3.3,3.7,3.4,3.6,4.3,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.8,2.9,2.3,3.3,3.2,4.5,4.6,4,5.33333333333333,5,0,2
3.4,3.2,3.5,2.7,3.5,3.11111111111111,3.8,2.8,1,4.9,1,1
3.1,4.3,2.1,2.9,3.7,2,3.4,2.7,1.8,4.9,1,1
3.5,4.4,3.4,1.2,3.7,4.2,4.8,4.7,4.4,5.5,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.2,4,3.1,2.9,2.1,3.4,2.8,3.3,2,4.2,0,1
3.33333333333333,4.1,4.3,3,4.4,3,4.2,2.4,1.1,3.5,1,2
3.6,3.7,3,2.4,3.5,3.1,3.9,2.9,3,3.7,1,2
2.7,4.7,3.1,3.6,4.4,3,3.3,3.6,2.9,4.3,1,1
3.6,4.7,3.2,3.7,3.6,3,3.2,3.7,3.6,5.1,1,1
1.8,3.1,4,4.1,3.4,2.8,3.9,2.5,1.1,5.1,0,1
3.9,4.2,3.3,2.8,4,2.7,4.4,3.1,3.2,4.9,1,1
4.7,4.5,4,3.5,3.4,3.9,2.6,2.3,1.4,5.33333333333333,0,1
3,4.6,4.2,2.1,3.5,3,4.2,2.8,1.9,5.8,1,1
3.8,4.4,4,4.4,4.1,2.8,3.7,3.7,3.9,5.5,1,1
3.2,4.1,2.9,4.8,3.1,4,4,3.7,3.5,5,1,2
2.3,4.5,3.6,2.4,2.7,1.5,1.9,2.3,1.9,2.6,1,1
3.8,3.9,4.3,3.4,4,1.9,2.5,2.4,2.1,2.5,1,1
3.3,4.6,2.7,3.2,4.6,2.5,2.9,2.5,1.1,3.6,1,2
4,3.9,3.8,2.5,3.3,3.7,3.9,3.6,2.6,4.3,1,1
3.8,3.4,3.3,2.6,3.3,1.77777777777778,3.4,3.2,2.5,3.88888888888889,1,2
2.9,4.2,3.9,1.7,3.9,3.5,4,3.4,3.9,4.5,1,2
2,3.1,4,2.2,3.6,1.3,3.4,2.1,1.1,4.5,1,2
1.5,3.4,3.6,4.1,3.5,2.2,3.7,2.4,3.7,4.6,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.1,4.7,4.2,2.9,3.8,4.2,3.8,4.1,3.8,5.4,1,1
4.7,3.9,4.7,1.9,4.4,4.5,3.3,4.2,5.1,3.4,0,1
4.8,4.6,3.4,2.2,4.6,3.9,3.9,4.4,3.3,4.8,1,2
4,3.2,3,2.1,3.55555555555556,2.3,3.5,1.3,2.7,3.4,1,2
2.5,3.6,3.2,3.3,4,5,4.1,5,3.7,5.1,1,1
4.5,4.9,4.5,3.4,4.5,2.22222222222222,2.1,3.4,1,2.9,0,1
4,4.3,2.7,3.4,3.7,2,3,2.6,1.8,3.9,1,1
2.1,4.4,3.8,3.1,3.7,3.9,4.3,3.7,4,5.8,1,2
3,4.4,3.7,1.6,3.7,4.1,4.6,3.9,1.6,5.2,1,1
3.2,4.1,4,2.2,3.9,4,4.1,5.1,2.7,5.6,1,1
4.6,4.8,3.6,1.9,3.1,4.1,4.2,2.7,3.8,5.1,1,1
3.9,4,2.8,2.4,4,3.9,4.6,4.1,1.8,5.7,1,1
3,5,4.7,2.5,3.9,2.3,3.9,3.1,2.1,5.1,1,1
2.77777777777778,3.3,4.1,3.4,3.7,2.1,3.8,2.8,2.3,3.6,1,1
4.3,4.4,3.88888888888889,2,3.3,1.9,3.1,2.5,1.6,5.5,1,2
3.4,4.3,4.2,2.9,3.7,2.3,3.9,3.6,2.7,4.6,1,1
3.4,4.1,3.4,2.5,4.1,2.5,3.4,2.9,1.8,3.6,1,1
2.3,3.2,3.6,3.8,3.9,2.8,3.4,2.3,2.6,4.3,1,1
2.1,4.6,3.2,2.2,4.1,3,4.1,3,2.9,4.4,0,1
3.1,4.4,3.1,3.1,3.4,3.2,3.8,2.5,1.1,4,1,1
3.3,4.1,4.1,3.33333333333333,2.3,3.2,4.1,1.7,1.7,5.9,1,1
3.4,4.8,3.9,3,4.2,1.9,3.6,2.9,3.8,4,1,1
3.1,4.1,3.2,3.8,4.2,3.7,2.7,3.5,1.8,4.8,1,1
4.1,4.4,3.8,2,3.4,3.7,4.3,3.2,2.8,4.7,1,1
4.3,3.5,4.4,1.7,4.8,3.8,3,3.5,3,5.4,0,2
4.4,4.8,4,2.9,4,3.9,4.2,3.1,3.8,4.7,1,1
2.7,3.9,4,3.3,2.5,3.5,2.55555555555556,3.2,3.1,3.5,1,1
4.2,4.1,3.4,1.6,3.6,5.1,5.6,5.3,6,5.4,0,1
3.4,4.8,3.8,2.9,4.2,4.1,4.2,2.7,3.5,4.8,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.8,5,3.9,3.2,4,4.4,5.1,3.7,4.1,4.3,0,1
3.3,4.4,4,3.3,3.6,4.3,4.5,4.2,3.7,5.1,1,1
2.4,4.1,4,2.4,4.5,3.8,4.2,4.2,4.22222222222222,5.8,1,1
3.8,4.4,3.6,2.5,3.7,3.1,4.3,2.8,3.2,4.8,1,2
3.9,4.5,3,3.5,3.9,4,4.6,4.5,2.9,5.7,0,1
1.9,4.3,3.3,3.2,3.4,2.4,4.5,2.9,2,5.2,1,1
4.7,3.9,4.5,2.8,4.2,3.4,4.8,3.9,4.4,5.2,1,1
2.5,3.7,4.1,3.1,3.4,3.4,3,3.6,3.8,3.5,0,1
2.5,4.11111111111111,3,3.1,3.1,3,2.2,2.4,3.1,3.5,1,1
3.3,4.1,3,2.5,2.7,2.6,4,3.9,3.5,5.5,1,2
4.3,4.9,4.5,4.5,3.9,3.5,4.8,4.88888888888889,4.8,5.1,1,1
2.4,4.6,3.2,4.2,3.3,2.9,3.6,3.11111111111111,1.2,5.4,1,1
5,4,3,4.6,2.8,1.5,2.7,1.88888888888889,1,2.6,1,1
2.6,3.8,4.4,2.9,4.22222222222222,2.8,2.8,3.4,1.6,4.4,1,2
2.4,4.5,3.6,3.7,3.3,3.2,5,4.8,5,5.8,1,1
2.6,3.6,3.1,2.2,3,1.9,3.5,2.6,1.2,3.6,1,1
3.3,4.7,4.8,2.4,3.8,2,2.4,1.7,1.9,3.8,0,1
3,3.1,3.2,3.3,3.3,4.1,4.44444444444444,4.7,4.4,4.5,0,2
4.3,5,3.6,2.1,3.8,4,4.2,4.4,2.6,5.3,1,1
3.7,3.6,3.3,3.1,3.4,2.6,4.1,3.8,3.9,4.5,1,1
2.3,3.1,4.3,2.4,4.8,2.7,4.1,3.9,2.6,4.4,1,1
3.8,4.2,4,2.1,4.2,2.8,4.3,4,4.1,5.2,1,2
2.3,4,3.8,2.3,3.8,3.9,4.2,3.5,4,3.9,1,2
4.2,4.3,3.8,2.6,4.8,2.7,3.9,2.6,2.88888888888889,4.2,1,2
4.5,4.2,3.9,2.2,3.5,4.3,4.3,3.8,3.33333333333333,5.1,1,1
3.3,4.4,3.5,3.8,4,3.5,4.7,4,4.7,5.9,0,1
3.7,4,4.1,3.6,4.5,3.1,4.4,3,1.5,5.4,1,1
2.8,4.2,4.2,2.8,3.3,2.6,3.8,2.7,1.8,4.4,1,2
2.8,4.1,3.7,2.1,4.1,2.1,3.9,3.4,3,5,1,1
4.4,4.7,3.9,1.3,4.5,5.9,5.55555555555556,5.3,5.9,5.8,1,2
3.5,3.7,3.3,3,3.4,2.2,3.6,3.6,1.2,4.1,1,1
3.4,3.7,3.5,3.3,3.9,3.2,3.9,3.5,2,4.5,0,1
4.7,4.9,4,1.5,4.9,5.5,5.7,5,2.9,6,0,1
2.3,3.5,3.8,2.1,4.1,3.4,3.7,4.7,4.3,4.7,1,1
3.8,4.8,3,4.4,4.7,3.3,4.5,4.5,5,5.2,1,1
3.7,4.3,4,1.6,3.66666666666667,2.9,4.1,3.2,2.2,4.1,1,1
3.5,4.1,2.6,3.3,4.1,4,3.5,4.6,1.4,5.2,1,1
3.2,4.5,3.5,3.1,4.2,1.6,2.8,2.5,1.2,4.9,1,1
3,4.1,3.8,3.8,4.3,2.2,4.1,3.6,1.1,4.2,1,1
3.3,4.4,4.4,3.7,3.3,3.6,5.1,3.2,2.1,5,1,1
2,4,4,3,3.5,2.8,3,3.2,2.8,3.7,1,1
4,4.2,3.7,2.8,4.4,2.8,2.5,4.3,1.8,4.4,0,1
2.6,3.1,2.7,3.3,3.4,3.1,2.8,2.9,2.5,3.9,0,1
2.6,4.4,3.3,2.3,3.7,3.7,2.3,4.3,3.4,5.9,1,1
1.8,4.2,3.9,1.8,3.5,1.6,3.6,2.1,1.2,3.7,1,1
3.5,3.5,3.7,3.7,3.9,3.1,4.7,5,2.3,5.3,1,1
4.9,4.9,3.11111111111111,3.8,4.11111111111111,3.6,3.6,3.3,2.5,5.4,1,1
3.1,4.4,4.1,3.2,3.1,3.7,2.7,2.3,1.1,4.4,1,1
4.1,4.2,3.5,4.2,3.6,2,3.3,2.5,3.3,3.9,1,2
3.3,4.5,3,2.1,4.1,3.8,4.4,3.8,5.2,4.3,1,2
3,4.3,4.2,2.9,3.7,3.2,4.4,4.1,1.7,5.4,1,1
4.6,4.6,4.7,3.5,3.8,4.6,3.3,2.4,2,4.2,0,1
3.2,4.8,2.6,2,3,4.4,3.9,3.3,3.5,3.9,1,1
